file_name,class_id,class_name,pred_class_id,pred_class_name,window_size,confidence,is_pred_correct,time_interval,sampling_strategy
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.56087357,True,0,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.9331535,True,40,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,80,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.99999964,True,120,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.9999919,True,160,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,200,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,240,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.55385625,True,0,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.9999776,True,40,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.99999976,True,80,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.9986594,True,120,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.9999993,True,160,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,200,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,240,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.8361219,True,0,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.975687,True,40,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,80,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.9999999,True,120,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,324,snowmobiling,5,0.8275228,False,160,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,0.99999845,True,200,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,240,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,60,cleaning floor,7,0.73183095,False,0,Random
mb2rno2ylUU.mp4,28,bobsledding,284,sanding floor,7,0.51195425,False,40,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,80,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.9998104,True,120,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,160,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.9999989,True,200,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,240,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.999624,True,0,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.98781747,True,40,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,80,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.94469637,True,120,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,160,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,200,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,240,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.9981268,True,0,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.9286154,True,40,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,80,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.99984765,True,120,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,0.5192391,True,160,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,200,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,7,1.0,True,240,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,60,cleaning floor,9,0.35021147,False,0,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.9963534,True,40,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,80,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,120,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.9999993,True,160,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,200,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.99999964,True,240,Random
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.91015023,True,0,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.99999857,True,40,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,80,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.9999988,True,120,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,160,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,200,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,240,MostRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.9992298,True,0,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.9969041,True,40,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,80,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,120,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,0.9762264,True,160,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,200,LeastRecent
mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,9,1.0,True,240,LeastRecent
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,0,Random
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,40,Random
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,80,Random
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,120,Random
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,0.99997294,True,0,MostRecent
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,40,MostRecent
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,80,MostRecent
FJlq-9rT0JU.mp4,28,bobsledding,28,bobsledding,5,1.0,True,120,MostRecent
