file_name,class_id,class_name,pred_class_id,pred_class_name,confidence,is_pred_correct,time_interval,sampling_strategy
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.9997185,True,5,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.32576957,True,6,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.76824987,True,7,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.679707,True,8,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.99999976,True,9,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,1.0,True,10,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,1.0,True,11,Random
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.77523285,True,5,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.486708,True,6,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,364,trapezing,0.5230109,False,7,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.39925483,True,8,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.99999917,True,9,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.9999988,True,10,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,1.0,True,11,MostRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.83612,True,5,LeastRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.92955035,True,6,LeastRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.9981268,True,7,LeastRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.9981268,True,8,LeastRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.9992299,True,9,LeastRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.9990994,True,10,LeastRecent
datasets\kinetics400_5per\train\bobsledding\mb2rno2ylUU.mp4,28,bobsledding,28,bobsledding,0.99956936,True,11,LeastRecent
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,285,scrambling eggs,0.22588225,False,5,Random
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,285,scrambling eggs,0.2652224,False,6,Random
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,129,flipping pancake,0.08173808,False,7,Random
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,164,ice skating,0.009035872,False,8,Random
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,21,bending metal,0.10800447,False,9,Random
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,125,feeding goats,0.6255563,False,10,Random
datasets\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4,28,bobsledding,125,feeding goats,0.5679319,False,11,Random
